bc_weights,vanilla_L2_err,sinh_L2_err,geometric_mean,max_error,weight_sum
"[0.01, 10.0, 0.1]",0.9946832100237055,0.5600015536910301,0.7463405007392111,0.9946832100237055,10.11
"[0.01, 10.0, 1.0]",0.9946716154139731,0.5660367747615116,0.7503470617892416,0.9946716154139731,11.01
"[0.01, 1.0, 100.0]",0.9914380337401777,0.5684822672055803,0.7507429261834299,0.9914380337401777,101.01
"[0.01, 1.0, 0.1]",0.9896354648892237,0.5967089217540473,0.768455796505963,0.9896354648892237,1.11
"[0.1, 1.0, 100.0]",0.9991305456497868,0.5944721944314396,0.7706849732516591,0.9991305456497868,101.1
"[0.1, 0.1, 100.0]",0.9991209291088246,0.5963270724733508,0.7718826715909094,0.9991209291088246,100.2
"[0.1, 0.01, 100.0]",0.9990842879002922,0.5977694935162027,0.7728014678804341,0.9990842879002922,100.11
"[0.1, 0.001, 100.0]",0.9990899481966538,0.5980009524642245,0.7729532590131383,0.9990899481966538,100.101
"[0.001, 1.0, 100.0]",0.984750730156645,0.6088974154635247,0.7743462884706042,0.984750730156645,101.001
"[0.01, 1.0, 0.01]",0.9895301141781807,0.6059757094483696,0.7743585816400883,0.9895301141781807,1.02
"[0.01, 1.0, 0.001]",0.9896711737764141,0.6069626564518641,0.7750441565802343,0.9896711737764141,1.011
"[0.1, 10.0, 0.001]",0.9992011895137828,0.6087690817486464,0.7799248621645939,0.9992011895137828,10.100999999999999
"[0.1, 10.0, 0.01]",0.9992553184594195,0.6090921722654226,0.7801529289621518,0.9992553184594195,10.11
"[0.1, 10.0, 0.1]",0.9991995786741888,0.6097854985508405,0.7805750529152402,0.9991995786741888,10.2
"[0.1, 10.0, 1.0]",0.9992363054787721,0.616371141659398,0.7847932354419664,0.9992363054787721,11.1
"[0.01, 0.1, 1.0]",0.9888348465974386,0.64117114527591,0.7962489378841321,0.9888348465974386,1.11
"[0.01, 10.0, 10.0]",0.9947719762363245,0.6374900631732887,0.7963399085653762,0.9947719762363245,20.009999999999998
"[0.001, 1.0, 10.0]",0.9161793696366575,0.7100646624775825,0.8065646873437848,0.9161793696366575,11.001
"[0.1, 10.0, 10.0]",0.9992086789637308,0.6643175683167288,0.8147342387859716,0.9992086789637308,20.1
"[0.001, 10.0, 10.0]",0.991252167453753,0.6840377400051253,0.8234402785874925,0.991252167453753,20.000999999999998
"[0.01, 0.1, 0.1]",0.9888378754482409,0.6870714761116345,0.8242586358172509,0.9888378754482409,0.21000000000000002
"[0.01, 0.1, 0.01]",0.9886631175366484,0.6939207457265333,0.8282836759186736,0.9886631175366484,0.12
"[0.01, 0.1, 0.001]",0.9886550105579359,0.6944688423141789,0.8286073259574056,0.9886550105579359,0.111
"[0.01, 0.1, 10.0]",0.9888570680883043,0.742377704419926,0.8567995332671545,0.9888570680883043,10.11
"[0.001, 10.0, 1.0]",0.9907476864694569,0.7777510446925512,0.8778126498167751,0.9907476864694569,11.001
"[0.001, 10.0, 100.0]",0.996154480641287,0.7757800664867827,0.8790886128388902,0.996154480641287,110.001
"[0.01, 0.01, 1.0]",0.9887184008744915,0.7964429726135065,0.8873882026881768,0.9887184008744915,1.02
"[0.1, 10.0, 100.0]",0.9992478154769237,0.7889502471553567,0.887894594526833,0.9992478154769237,110.1
"[0.001, 10.0, 0.1]",0.990641921489162,0.8022319233794286,0.8914732604271108,0.990641921489162,10.100999999999999
"[0.001, 10.0, 0.01]",0.9904980399347295,0.8046338870352219,0.8927420052699715,0.9904980399347295,10.011
"[0.001, 10.0, 0.001]",0.9905828998399754,0.804954928966713,0.8929583348490163,0.9905828998399754,10.001999999999999
"[0.01, 0.1, 100.0]",0.9908918601432615,0.8116492592089335,0.8968035706002961,0.9908918601432615,100.11
"[0.01, 0.001, 1.0]",0.9887251704290683,0.8206750198963249,0.900789680732341,0.9887251704290683,1.011
"[0.01, 10.0, 100.0]",0.9954892854361608,0.8281175921132874,0.907954949339432,0.9954892854361608,110.01
"[0.01, 0.01, 10.0]",0.9889457441052005,0.8400134809047947,0.9114426789062446,0.9889457441052005,10.02
"[0.01, 0.001, 10.0]",0.9889492002883212,0.8511448066462671,0.917463337612127,0.9889492002883212,10.011
"[0.001, 1.0, 1.0]",0.9125934972234564,0.9325064304797968,0.9224962355342811,0.9325064304797968,2.001
"[0.01, 0.01, 100.0]",0.9908247965068874,0.86481818799806,0.9256799150562968,0.9908247965068874,100.02
"[0.01, 0.001, 100.0]",0.9907099622355621,0.8699826417307249,0.9283859489106031,0.9907099622355621,100.011
"[0.01, 0.01, 0.1]",0.988553682433221,0.889585149350879,0.9377647227469789,0.988553682433221,0.12000000000000001
"[0.01, 0.01, 0.01]",0.9887127559129524,0.9042497917667148,0.9455386314960282,0.9887127559129524,0.03
"[0.01, 0.01, 0.001]",0.9887130337274108,0.9057553879167973,0.9463256085524498,0.9887130337274108,0.021
"[0.01, 0.001, 0.1]",0.9887055875073238,0.921816848845793,0.9546755831758921,0.9887055875073238,0.111
"[0.001, 1.0, 0.1]",0.9135912111015962,1.0099641910125279,0.96056983527299,1.0099641910125279,1.101
"[0.01, 0.001, 0.01]",0.9885173235771999,0.9364952107331044,0.9621547376886704,0.9885173235771999,0.020999999999999998
"[0.01, 0.001, 0.001]",0.9887138893385554,0.938698568894387,0.9633817067850652,0.9887138893385554,0.012
"[0.001, 1.0, 0.001]",0.9135006043823053,1.0199441048990143,0.9652562127546339,1.0199441048990143,1.0019999999999998
"[0.001, 1.0, 0.01]",0.914431224542082,1.0191347100139556,0.9653644911904524,1.0191347100139556,1.011
"[1.0, 0.001, 0.1]",0.999684289490866,0.9639790850727527,0.9816693673253789,0.999684289490866,1.101
"[1.0, 0.001, 0.01]",0.999699052526218,0.963972157290176,0.9816730883062057,0.999699052526218,1.011
"[1.0, 0.01, 0.001]",0.9996873048857348,0.9639991544586279,0.9816810666570243,0.9996873048857348,1.011
"[1.0, 0.001, 0.001]",0.9997214311347804,0.9639823465544417,0.981689264016914,0.9997214311347804,1.0019999999999998
"[1.0, 0.01, 0.1]",0.9997083255185748,0.964009774803387,0.9816967952235722,0.9997083255185748,1.11
"[1.0, 0.01, 0.01]",0.9997181252792586,0.964020460995324,0.9817070479512164,0.9997181252792586,1.02
"[1.0, 0.1, 0.1]",0.9996813707770373,0.9641092632226615,0.9817342154765055,0.9996813707770373,1.2000000000000002
"[1.0, 0.1, 0.01]",0.9996858550796732,0.9641067063552134,0.9817351155636428,0.9996858550796732,1.11
"[1.0, 0.01, 1.0]",0.9997165791652093,0.9641073654679679,0.9817505372311335,0.9997165791652093,2.01
