candidate_id,candidate_index,real_tanh_autodiff_divergence_rms,real_tanh_autodiff_energy_relative_rmse,real_tanh_autodiff_loss,real_tanh_autodiff_pressure_mean_max_abs,real_tanh_autodiff_pressure_rel_error,real_tanh_autodiff_rel_error,real_tanh_autodiff_status,real_tanh_autodiff_steps,real_tanh_autodiff_velocity_rel_error,war_divergence_rms,war_energy_relative_rmse,war_loss,war_pressure_mean_max_abs,war_pressure_rel_error,war_rel_error,war_status,war_steps,war_velocity_rel_error,weight_labels,weight_map,weights
point_030,30,0.09191988408565521,0.1467484086751938,0.24418309330940247,0.003248745808377862,0.9966367483139038,0.23112621903419495,complete,276,0.23112621903419495,0.026399457827210426,0.12956523895263672,0.02761603519320488,0.0038218582049012184,0.5842427015304565,0.11058512330055237,complete,1081,0.11058512330055237,"[""1e+1"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 10.0}","[10.0, 0.1]"
point_031,31,0.09437522292137146,0.17044943571090698,0.2909991443157196,0.004151070956140757,1.0023910999298096,0.23533184826374054,complete,276,0.23533184826374054,0.028414249420166016,0.23981161415576935,0.04951409623026848,0.0025791360531002283,0.9205213785171509,0.14953289926052094,complete,1076,0.14953289926052094,"[""1e+1"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 10.0}","[10.0, 1.0]"
point_032,32,0.08463969081640244,0.4567638039588928,0.703307032585144,0.001691478188149631,1.0470112562179565,0.365243524312973,complete,279,0.365243524312973,0.016583560034632683,0.2599462866783142,0.05422549694776535,0.005175398197025061,0.9434472322463989,0.15538077056407928,complete,1067,0.15538077056407928,"[""1e+1"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 10.0}","[10.0, 10.0]"
point_033,33,0.012275510467588902,0.9969494938850403,2.4612252712249756,0.0011440060334280133,1.0001624822616577,0.9653869867324829,complete,284,0.9653869867324829,0.01580379344522953,0.997951090335846,2.308558464050293,0.00039528371416963637,0.9999290108680725,0.9692791700363159,complete,1085,0.9692791700363159,"[""1e+1"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 10.0}","[10.0, 100.0]"
point_034,34,0.0007397497538477182,0.9999817609786987,2.4486825466156006,0.001848402782343328,1.0001717805862427,0.9995237588882446,complete,282,0.9995237588882446,0.0008684527711011469,0.9998253583908081,2.423550605773926,0.00020686796051450074,0.9999995827674866,0.9988076090812683,complete,1103,0.9988076090812683,"[""1e+1"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 10.0}","[10.0, 1000.0]"
point_035,35,0.13835185766220093,0.10485947877168655,1.311264991760254,0.006436212919652462,1.0149699449539185,0.21702253818511963,complete,285,0.21702253818511963,0.018725046887993813,0.16185453534126282,0.06235659867525101,0.005091025494039059,0.9403839111328125,0.1285429447889328,complete,1086,0.1285429447889328,"[""1e+2"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 100.0}","[100.0, 0.001]"
point_036,36,0.13675296306610107,0.10616770386695862,1.2816579341888428,0.006331658456474543,1.0176769495010376,0.21979168057441711,complete,281,0.21979168057441711,0.018917882815003395,0.1575305312871933,0.06370991468429565,0.004000551998615265,0.940227746963501,0.12571394443511963,complete,1084,0.12571394443511963,"[""1e+2"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 100.0}","[100.0, 0.01]"
point_037,37,0.1357957124710083,0.10472670942544937,1.5441375970840454,0.005085371434688568,1.0083470344543457,0.22023014724254608,complete,271,0.22023014724254608,0.017955563962459564,0.16644702851772308,0.06080017611384392,0.004914878401905298,0.944616973400116,0.13200543820858002,complete,1124,0.13200543820858002,"[""1e+2"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 100.0}","[100.0, 0.1]"
point_038,38,0.13774874806404114,0.10085289925336838,1.4179189205169678,0.007272616028785706,1.0063432455062866,0.21981525421142578,complete,272,0.21981525421142578,0.015803158283233643,0.15003268420696259,0.07109887897968292,0.002590163378044963,0.9737525582313538,0.14700962603092194,complete,1118,0.14700962603092194,"[""1e+2"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 100.0}","[100.0, 1.0]"
point_039,39,0.13921110332012177,0.09522777050733566,1.6765282154083252,0.007406923454254866,1.0270657539367676,0.21653616428375244,complete,290,0.21653616428375244,0.013251828961074352,0.11427530646324158,0.07904598861932755,0.0040243323892354965,0.9667288064956665,0.14930181205272675,complete,1079,0.14930181205272675,"[""1e+2"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 100.0}","[100.0, 10.0]"
point_040,40,0.11315126717090607,0.2996516227722168,4.975057125091553,0.0033195719588547945,1.0479516983032227,0.29671409726142883,complete,276,0.29671409726142883,0.009559464640915394,0.13841015100479126,0.12443245202302933,0.0027668671682476997,0.9906905293464661,0.06544806808233261,complete,1073,0.06544806808233261,"[""1e+2"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 100.0}","[100.0, 100.0]"
point_041,41,0.008938029408454895,0.9981597065925598,24.123483657836914,0.005511346738785505,1.0003291368484497,0.9755768775939941,complete,273,0.9755768775939941,0.013149323873221874,0.9987825751304626,24.43468475341797,6.897469575051218e-05,0.9999991655349731,0.9777022004127502,complete,1065,0.9777022004127502,"[""1e+2"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 100.0}","[100.0, 1000.0]"
point_042,42,0.1478240042924881,0.11547420173883438,11.587431907653809,0.004102759063243866,1.0381911993026733,0.2247226983308792,complete,286,0.2247226983308792,0.009412720799446106,0.17353272438049316,0.13789834082126617,0.0021060938015580177,0.9976999759674072,0.08316139876842499,complete,1085,0.08316139876842499,"[""1e+3"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 1000.0}","[1000.0, 0.001]"
point_043,43,0.14683423936367035,0.11405277997255325,11.104903221130371,0.0024501357693225145,1.041757345199585,0.2245602309703827,complete,277,0.2245602309703827,0.009363661520183086,0.1749383509159088,0.12987056374549866,0.0018894473323598504,0.992458164691925,0.08340727537870407,complete,1078,0.08340727537870407,"[""1e+3"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 1000.0}","[1000.0, 0.01]"
point_044,44,0.14559584856033325,0.1130003109574318,11.254141807556152,0.002804083749651909,1.020828127861023,0.22498181462287903,complete,277,0.22498181462287903,0.008874570019543171,0.17118890583515167,0.13985726237297058,0.0011069986503571272,0.9883347153663635,0.08167645335197449,complete,1078,0.08167645335197449,"[""1e+3"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 1000.0}","[1000.0, 0.1]"
point_045,45,0.1470329612493515,0.11545989662408829,13.151719093322754,0.0024689692072570324,1.0188932418823242,0.22283786535263062,complete,283,0.22283786535263062,0.006344655528664589,0.17031647264957428,0.1394289880990982,0.002092563547194004,0.9895904660224915,0.08117250353097916,complete,1087,0.08117250353097916,"[""1e+3"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 1000.0}","[1000.0, 1.0]"
point_046,46,0.15008048713207245,0.11094958335161209,12.905110359191895,0.009327931329607964,1.0229464769363403,0.22311300039291382,complete,288,0.22311300039291382,0.00534043088555336,0.1716340184211731,0.13454730808734894,0.00043417426059022546,0.9935353994369507,0.0809226855635643,complete,1093,0.0809226855635643,"[""1e+3"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 1000.0}","[1000.0, 10.0]"
point_047,47,0.1482584923505783,0.09663179516792297,17.143815994262695,0.018747402355074883,1.048691987991333,0.22314892709255219,complete,276,0.22314892709255219,0.005829859524965286,0.17175868153572083,0.14311492443084717,0.004172142129391432,1.0050281286239624,0.08132614195346832,complete,1095,0.08132614195346832,"[""1e+3"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 1000.0}","[1000.0, 100.0]"
point_048,48,0.09694752097129822,0.3416902720928192,53.774192810058594,0.021667296066880226,1.0618149042129517,0.30679428577423096,complete,276,0.30679428577423096,0.008409804664552212,0.168894425034523,0.23547741770744324,0.01724632829427719,1.1542004346847534,0.08087252825498581,complete,1083,0.08087252825498581,"[""1e+3"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 1000.0}","[1000.0, 1000.0]"
