elapsed_seconds,loss_max,loss_median,loss_min,loss_q25,loss_q75,method,method_label,rel_error_max,rel_error_median,rel_error_min,rel_error_q25,rel_error_q75,task_id
220.0,0.0065733777757178025,0.0029824594733900843,0.0005324941879549243,0.0007166591242691913,0.005276051021968258,war,"WAR (complex64, sinh)",0.22003056537221527,0.18538489022732882,0.12720946551999732,0.1741926447874243,0.2145234732275098,zk_2d_o3
240.0,0.0053488421346186196,0.0008533252795806088,0.00016360693926870424,0.0003448549035581897,0.0012961922140107642,war,"WAR (complex64, sinh)",0.2704447151528784,0.18321300149605904,0.1551654285831809,0.1769317016238557,0.1839504387348554,zk_2d_o3
260.0,0.013058039644802956,0.0010194076910757111,0.0008633869036104142,0.0009329465971555605,0.0013146365508134726,war,"WAR (complex64, sinh)",0.2616896918284236,0.18266836842626566,0.09906110325008423,0.15572560062432406,0.25305443939536554,zk_2d_o3
280.0,0.0019452582170243172,0.0006880650306384486,0.00017168006922590312,0.0003375435308504502,0.0011573557422853696,war,"WAR (complex64, sinh)",0.1694624580243773,0.16306668598527338,0.0955740444421883,0.14287960836532074,0.1680182160380116,zk_2d_o3
300.0,0.002711086606461514,0.0005025902525084599,0.00022755503713855932,0.00043662728776680456,0.0011716664771132981,war,"WAR (complex64, sinh)",0.2035566688093332,0.16890886527501114,0.11912383345505627,0.12668042811491384,0.17765874525479913,zk_2d_o3
320.0,0.004895178596273687,0.0007597381728812969,0.0005068365467440669,0.0006641615884887523,0.0021255377232735936,war,"WAR (complex64, sinh)",0.19393313716294786,0.15763574853040552,0.11553162895650618,0.15563213227421385,0.17002687680614278,zk_2d_o3
340.0,0.0040923614997104224,0.0008040801147883418,0.00044111694093644245,0.0005176519476585761,0.0009788405000891738,war,"WAR (complex64, sinh)",0.17981490073204046,0.1342392319794891,0.11113155176361493,0.12229432405873192,0.14741183411275535,zk_2d_o3
360.0,0.004021428652379665,0.0008757713914242121,0.00048349009901917203,0.0005315830129692123,0.002440074201746004,war,"WAR (complex64, sinh)",0.16944129031983596,0.1358603236266656,0.07244515513280593,0.10552208976012961,0.16381865406573543,zk_2d_o3
380.0,0.009517109231144284,0.0012314620260301075,7.548162985956474e-05,0.0009583637615602103,0.0016851974061968655,war,"WAR (complex64, sinh)",0.14733038406162985,0.12525978941495175,0.08897414730121736,0.1055012492740697,0.13236926535988863,zk_2d_o3
400.0,0.0007380904773755663,0.0003543069802017205,0.00016106422773006724,0.00018092557679175395,0.0004719325157790717,war,"WAR (complex64, sinh)",0.19503937364706342,0.10373833145833364,0.07113887460881836,0.09648942317811414,0.12412855053101149,zk_2d_o3
420.0,0.0014241149273446355,0.0001549169384433346,3.2877337235886525e-05,7.915963156881812e-05,0.00039896733765584026,war,"WAR (complex64, sinh)",0.12414440143806528,0.10791790735725842,0.07369076748035198,0.09709552593683216,0.11889040713621238,zk_2d_o3
440.0,0.002096485083962103,0.0002802911037431667,5.565248938123864e-05,0.0001426731042284911,0.00035464063848803055,war,"WAR (complex64, sinh)",0.11848077231533558,0.0997311523098165,0.047069297177663914,0.09449925282634133,0.10061660192179742,zk_2d_o3
460.0,0.0025881312069350134,0.0003091910540546137,7.908963357104167e-05,0.00017550288292517908,0.00045166107905082227,war,"WAR (complex64, sinh)",0.1100960068173017,0.09082665322720472,0.0854118612085289,0.0896423030573925,0.10388171693563526,zk_2d_o3
480.0,0.00042829510903131634,0.00020778022275991587,6.122789051968008e-05,0.0001221859784476024,0.00023697085104000597,war,"WAR (complex64, sinh)",0.09878360967059176,0.08688697429456838,0.04978458373042379,0.07963676471734085,0.09563873219072819,zk_2d_o3
500.0,0.0006580715224702696,9.866184171559678e-05,3.070390864906995e-05,6.411727178129386e-05,0.0001510681599110465,war,"WAR (complex64, sinh)",0.09143940712260575,0.08558896562482816,0.055013116618459534,0.07454430184508974,0.08857997974501759,zk_2d_o3
520.0,0.0002180068120337473,0.00012327210332764178,3.5259218504003264e-05,6.154194114368885e-05,0.00013057667565092576,war,"WAR (complex64, sinh)",0.12801385855258596,0.0743524387273387,0.0453648452427198,0.06253544899966368,0.08980026485547342,zk_2d_o3
