elapsed_seconds,loss_max,loss_median,loss_min,loss_q25,loss_q75,method,method_label,rel_error_max,rel_error_median,rel_error_min,rel_error_q25,rel_error_q75,task_id,task_label
425.0,0.00034288752466443174,0.00015511439758266032,3.7497019117820835e-05,0.00010396358876211046,0.0003369795990401589,war,WAR (complex64),0.05536671870087622,0.030730518220437236,0.013172713647247862,0.019964468992607804,0.036130889886627354,cahn_hilliard_2d_o6,CH6
430.0,0.00031171886292474495,9.587057497837446e-05,8.737844498530128e-05,9.502800657101367e-05,0.00020053961219350746,war,WAR (complex64),0.04386091196008127,0.030553881206602386,0.013735862875306195,0.017270084902841567,0.03287553418084901,cahn_hilliard_2d_o6,CH6
435.0,0.17592653858034632,8.989141086990057e-05,7.030582878086677e-05,8.863228147150825e-05,0.00023742960626464647,war,WAR (complex64),0.4775563784368795,0.0316355625088106,0.01858237045452791,0.027676255524354546,0.039792968138708,cahn_hilliard_2d_o6,CH6
440.0,0.004857480549678936,8.796526685419787e-05,6.234880765703232e-05,8.286057818203569e-05,0.0001865766139010528,war,WAR (complex64),0.13535814888489467,0.027877711433416125,0.013304074932815593,0.027755044880032703,0.036721687876133294,cahn_hilliard_2d_o6,CH6
445.0,0.0013165074753418225,7.72517976361109e-05,5.6073352359142206e-05,7.587213909623379e-05,0.00016666093313011835,war,WAR (complex64),0.05668032948134464,0.026835366219844687,0.014105209762701541,0.026203099353274365,0.0337707393714607,cahn_hilliard_2d_o6,CH6
450.0,0.0006432729249349258,8.197819674585261e-05,5.239107477159353e-05,6.924891491836015e-05,0.00015747751715715442,war,WAR (complex64),0.045004704486277164,0.02520854189651373,0.02004668174147128,0.023288717853738133,0.03293976449892172,cahn_hilliard_2d_o6,CH6
455.0,0.00043752750947002303,0.00011840031862917101,4.509931526705303e-05,6.26318525044662e-05,0.00013047025518486542,war,WAR (complex64),0.040974542600388617,0.024866885596097402,0.022200458749847125,0.024226245911117713,0.030915167319074895,cahn_hilliard_2d_o6,CH6
460.0,0.00034328224652239786,0.00011204830067200693,4.4945299543083836e-05,6.229686238242551e-05,0.00012132996185927165,war,WAR (complex64),0.03638465436381047,0.022381439579070087,0.010652050652118354,0.021952542183486863,0.030404125718419793,cahn_hilliard_2d_o6,CH6
465.0,0.00029031495416588943,6.613827242017208e-05,3.919272150943725e-05,6.0996135896991424e-05,0.0001279633078845288,war,WAR (complex64),0.03237294148128684,0.02164838633544449,0.014529112720659314,0.020221762825060573,0.028211246109324968,cahn_hilliard_2d_o6,CH6
470.0,0.00024364941932975473,9.87235594548432e-05,3.982135440781313e-05,6.221730604824709e-05,0.00010325357576649468,war,WAR (complex64),0.02882816702113345,0.021325123807230277,0.009924896354364974,0.02063461508851407,0.027646179066511466,cahn_hilliard_2d_o6,CH6
475.0,0.013377521457549921,0.00010366468929202571,3.671980434523003e-05,6.765552944400105e-05,0.0002166367088452251,war,WAR (complex64),0.3006427833442656,0.026282928709960365,0.018828561431352222,0.020930985112086707,0.027617168199628266,cahn_hilliard_2d_o6,CH6
480.0,0.0018456330951117496,0.0001146864920114212,3.6231071202895196e-05,5.557276033356005e-05,0.0001830944802855238,war,WAR (complex64),0.08366264843358623,0.023876776417130034,0.018114126266409906,0.023336611915134742,0.025814638667730528,cahn_hilliard_2d_o6,CH6
485.0,0.00032417330751468855,8.436156917430514e-05,3.150954562806128e-05,5.209996379481624e-05,0.00016475225260884234,war,WAR (complex64),0.058313011507704605,0.022149204043771256,0.017119390526567215,0.021285117107158618,0.02510376557638713,cahn_hilliard_2d_o6,CH6
490.0,0.00017106509423931742,7.537902529199645e-05,2.7642293892828318e-05,4.7767983144868236e-05,0.00016040189013059815,war,WAR (complex64),0.044914843324185744,0.020368045769242685,0.01807215543107446,0.019455565206785052,0.025083989456296554,cahn_hilliard_2d_o6,CH6
495.0,0.0001731954495349927,7.17411935419789e-05,2.8342464507345844e-05,4.690954894049892e-05,0.00012405975418322448,war,WAR (complex64),0.037190296659961604,0.020982245286862822,0.01586312846690182,0.01867261597578913,0.022973545766494033,cahn_hilliard_2d_o6,CH6
500.0,0.00013821149137615267,7.329640292016851e-05,2.824953108583317e-05,4.70166411348926e-05,0.00011045195533702175,war,WAR (complex64),0.03147237851870956,0.018917104564024612,0.01784481403376188,0.018212260757773168,0.022794784417908408,cahn_hilliard_2d_o6,CH6
505.0,0.00010969681699400553,6.58560923895502e-05,3.2702319480484724e-05,4.7448878145924606e-05,0.00010563006575507394,war,WAR (complex64),0.027185783203913634,0.020158971217886415,0.015465773422273768,0.01716830937069386,0.0238616942836382,cahn_hilliard_2d_o6,CH6
510.0,0.00010511903567195585,8.542038646138272e-05,4.9156684651101846e-05,5.538446103367952e-05,9.791963683755102e-05,war,WAR (complex64),0.025837577582476262,0.018394590958924564,0.015600424704013554,0.015891484742318475,0.025780565889442043,cahn_hilliard_2d_o6,CH6
515.0,9.829954091632179e-05,7.1181694673672e-05,4.657719937391077e-05,6.725041441772473e-05,7.72063626634883e-05,war,WAR (complex64),0.029347542062772607,0.019010966333088165,0.01529204477200386,0.016642869282888224,0.0251440879062704,cahn_hilliard_2d_o6,CH6
520.0,0.00012199284381490875,7.275597558332074e-05,4.108023026402583e-05,4.511157750479697e-05,8.105517759714035e-05,war,WAR (complex64),0.023270708147730777,0.017495647652421797,0.015661100292706318,0.01587945951977688,0.02125224044648881,cahn_hilliard_2d_o6,CH6
525.0,9.830103921445206e-05,6.559338822215292e-05,2.9888748442171204e-05,6.554731774745164e-05,8.512498532272309e-05,war,WAR (complex64),0.02233688852107561,0.020363945704807405,0.014940539783710072,0.017372681014853765,0.02045315697513555,cahn_hilliard_2d_o6,CH6
530.0,0.00021204495851015454,7.834865771831131e-05,5.636380836406827e-05,6.087486441312895e-05,0.00016830281827360103,war,WAR (complex64),0.04009893393839623,0.01987537809828991,0.01424007307122834,0.014479252036101802,0.021533754611712315,cahn_hilliard_2d_o6,CH6
