task_id,variant,time_s,median_l2,q25_l2,q75_l2,median_best_l2,q25_best_l2,q75_best_l2,n_seeds
poly_d2_o4,complex_sinh,362.069095,4.0179466792e-02,3.4533154903e-02,5.8147703374e-02,3.9641598469e-02,3.4533154903e-02,5.8147703374e-02,5
poly_d2_o4,complex_sinh,368.774078,3.9276618618e-02,3.7898239449e-02,5.5694946791e-02,3.8914936882e-02,3.4410574879e-02,5.5694946791e-02,5
poly_d2_o4,complex_sinh,375.479061,3.8879849349e-02,3.4144243635e-02,5.5836858714e-02,3.8773549985e-02,3.3990024341e-02,5.5660454532e-02,5
poly_d2_o4,complex_sinh,382.184045,3.7859449034e-02,3.2451367475e-02,5.3910748628e-02,3.7859449034e-02,3.1920432537e-02,5.3910748628e-02,5
poly_d2_o4,complex_sinh,388.889028,3.8169184852e-02,3.3090346162e-02,5.4615932845e-02,3.7576699901e-02,3.1920432537e-02,5.3362073401e-02,5
poly_d2_o4,complex_sinh,395.594011,3.8059238063e-02,3.3800715720e-02,5.4924380235e-02,3.7576699901e-02,3.1920432537e-02,5.0938321623e-02,5
poly_d2_o4,complex_sinh,402.298994,3.8929754811e-02,3.2644780589e-02,4.8800048473e-02,3.7576699901e-02,3.1789036417e-02,4.8777946688e-02,5
poly_d2_o4,complex_sinh,409.003978,3.7825470092e-02,3.1054748861e-02,4.7201425959e-02,3.7534980630e-02,3.1054748861e-02,4.7201425959e-02,5
poly_d2_o4,complex_sinh,415.708961,3.6885933807e-02,3.0913753997e-02,4.6211150577e-02,3.6885933807e-02,3.0808260950e-02,4.6211150577e-02,5
poly_d2_o4,complex_sinh,422.413944,3.7414477349e-02,3.0547745328e-02,4.5987167323e-02,3.6554499457e-02,3.0499160731e-02,4.5913929476e-02,5
poly_d2_o4,complex_sinh,429.118927,3.5941094695e-02,2.9480279164e-02,4.6613602203e-02,3.5926626423e-02,2.9468541856e-02,4.5079207675e-02,5
poly_d2_o4,complex_sinh,435.823911,3.5511746542e-02,3.0119841953e-02,4.7176929604e-02,3.5489590101e-02,2.9468541856e-02,4.5079207675e-02,5
poly_d2_o4,complex_sinh,442.528894,3.4054881273e-02,2.8411489680e-02,4.5253243487e-02,3.4054881273e-02,2.8339931252e-02,4.5012250263e-02,5
poly_d2_o4,complex_sinh,449.233877,3.4968742458e-02,2.9327349963e-02,4.4137873682e-02,3.4052961542e-02,2.8260355222e-02,4.4137873682e-02,5
poly_d2_o4,complex_sinh,455.938860,3.4346897557e-02,2.8249765551e-02,4.4696835806e-02,3.4052961542e-02,2.8220410738e-02,4.3701865137e-02,5
poly_d2_o4,complex_sinh,462.643844,3.3547915592e-02,2.9141443438e-02,4.1606360582e-02,3.3484816592e-02,2.8095349433e-02,4.1606360582e-02,5
poly_d2_o4,complex_sinh,469.348827,3.4592295852e-02,2.6784769777e-02,4.0338366337e-02,3.3484816592e-02,2.6573672671e-02,4.0338366337e-02,5
poly_d2_o4,complex_sinh,476.053810,3.2541085598e-02,2.6730953859e-02,3.9492790669e-02,3.2368067630e-02,2.6573672671e-02,3.9184359150e-02,5
poly_d2_o4,complex_sinh,482.758793,3.2745961773e-02,2.7742044413e-02,4.1045777099e-02,3.2237609325e-02,2.6573672671e-02,3.9184359150e-02,5
poly_d2_o4,complex_sinh,489.463777,3.2925980983e-02,2.7166683129e-02,3.9420089931e-02,3.2237609325e-02,2.6573672671e-02,3.9184359150e-02,5
poly_d2_o4,complex_sinh,496.168760,3.1932655723e-02,2.5827913583e-02,3.8285467791e-02,3.1932655723e-02,2.5810776472e-02,3.8285467791e-02,5
poly_d2_o4,complex_sinh,502.873743,3.1638040019e-02,2.5682055396e-02,3.7034935216e-02,3.1638040019e-02,2.5515899634e-02,3.7034935216e-02,5
poly_d2_o4,complex_sinh,509.578726,3.1719863427e-02,2.5406736164e-02,3.5715183586e-02,3.1513815400e-02,2.5256808794e-02,3.5715183586e-02,5
poly_d2_o4,complex_sinh,516.283709,3.0717325986e-02,2.4926167664e-02,3.5101626805e-02,3.0717325986e-02,2.4918953186e-02,3.5101626805e-02,5
poly_d2_o4,complex_sinh,522.988693,2.9986005363e-02,2.4302078727e-02,3.5075653504e-02,2.9986005363e-02,2.4254099898e-02,3.4861353431e-02,5
poly_d2_o4,complex_sinh,529.693676,2.9128203327e-02,2.3209451003e-02,3.4381455965e-02,2.9128203327e-02,2.3209451003e-02,3.4381455965e-02,5
poly_d2_o4,complex_sinh,536.398659,2.9177553615e-02,2.3491184589e-02,3.3857663064e-02,2.9018609242e-02,2.3154701918e-02,3.3857663064e-02,5
poly_d2_o4,complex_sinh,543.103642,2.8287940354e-02,2.3207159101e-02,3.2721082459e-02,2.8287940354e-02,2.3152137239e-02,3.2721082459e-02,5
poly_d2_o4,complex_sinh,549.808626,2.7536808271e-02,2.3435439946e-02,3.2034710647e-02,2.7499838048e-02,2.3150336838e-02,3.2034710647e-02,5
poly_d2_o4,complex_sinh,556.513609,2.7776100663e-02,2.2149941927e-02,3.1874673936e-02,2.7466017567e-02,2.2094389989e-02,3.1735221545e-02,5
poly_d2_o4,complex_sinh,563.218592,2.7062427508e-02,2.2224951814e-02,3.0095981667e-02,2.7062427508e-02,2.2094389989e-02,3.0095981667e-02,5
