task_id,ranking,rank,candidate_id,candidate_index,geometric_mean,max_error,mean_error,real_tanh_autodiff_rel_error,war_rel_error,weight_labels,weight_map,weight_sum,weights
poly_d2_o4,shared_geomean,7,point_009,9,0.049902071825769743,0.11037509514898312,0.06646824803116168,0.11037509514898312,0.022561400913340225,"[""1e-2"", ""1e-1""]","{""w_Delta_u"": 0.1, ""w_u"": 0.01}",0.11,"[0.01, 0.1]"
poly_d2_o4,shared_geomean,8,point_025,25,0.06799914273386709,0.371087739549116,0.1917740451748003,0.371087739549116,0.01246035080048455,"[""1e+0"", ""1e+1""]","{""w_Delta_u"": 10.0, ""w_u"": 1.0}",11.0,"[1.0, 10.0]"
poly_d2_o4,shared_geomean,9,point_015,15,0.08647494734591715,0.2709336675041285,0.14926710558126613,0.2709336675041285,0.02760054365840375,"[""1e-1"", ""1e-2""]","{""w_Delta_u"": 0.01, ""w_u"": 0.1}",0.11,"[0.1, 0.01]"
poly_d2_o4,shared_geomean,10,point_026,26,0.08901632042384187,0.6068760230155582,0.3099664497730003,0.6068760230155582,0.013056876530442442,"[""1e+0"", ""1e+2""]","{""w_Delta_u"": 100.0, ""w_u"": 1.0}",101.0,"[1.0, 100.0]"
poly_d2_o4,shared_minimax,1,point_010,10,0.04589906062144532,0.08739430300739265,0.05575013261021596,0.08739430300739265,0.02410596221303928,"[""1e-2"", ""1e+0""]","{""w_Delta_u"": 1.0, ""w_u"": 0.01}",1.01,"[0.01, 1.0]"
poly_d2_o4,shared_minimax,2,point_017,17,0.02298411435348448,0.0944726283601376,0.05003220078650598,0.0944726283601376,0.005591773212874354,"[""1e-1"", ""1e+0""]","{""w_Delta_u"": 1.0, ""w_u"": 0.1}",1.1,"[0.1, 1.0]"
poly_d2_o4,shared_minimax,3,point_009,9,0.049902071825769743,0.11037509514898312,0.06646824803116168,0.11037509514898312,0.022561400913340225,"[""1e-2"", ""1e-1""]","{""w_Delta_u"": 0.1, ""w_u"": 0.01}",0.11,"[0.01, 0.1]"
poly_d2_o4,shared_minimax,4,point_018,18,0.0415464427779483,0.15219599301332815,0.08176866783422712,0.15219599301332815,0.011341342655126098,"[""1e-1"", ""1e+1""]","{""w_Delta_u"": 10.0, ""w_u"": 0.1}",10.1,"[0.1, 10.0]"
poly_d2_o4,shared_minimax,5,point_016,16,0.03398338119123642,0.1698885519852643,0.08834318128581828,0.1698885519852643,0.006797810586372248,"[""1e-1"", ""1e-1""]","{""w_Delta_u"": 0.1, ""w_u"": 0.1}",0.2,"[0.1, 0.1]"
poly_d2_o4,shared_minimax,6,point_023,23,0.045495385062592146,0.17166844891658126,0.09186279311798454,0.17166844891658126,0.012057137319387816,"[""1e+0"", ""1e-1""]","{""w_Delta_u"": 0.1, ""w_u"": 1.0}",1.1,"[1.0, 0.1]"
poly_d2_o4,shared_minimax,7,point_022,22,0.09706261173995909,0.222365940848683,0.13236685893223354,0.222365940848683,0.04236777701578412,"[""1e+0"", ""1e-2""]","{""w_Delta_u"": 0.01, ""w_u"": 1.0}",1.01,"[1.0, 0.01]"
poly_d2_o4,shared_minimax,8,point_008,8,0.10731134373605902,0.2365539882404105,0.14261757822977256,0.2365539882404105,0.04868116821913461,"[""1e-2"", ""1e-2""]","{""w_Delta_u"": 0.01, ""w_u"": 0.01}",0.02,"[0.01, 0.01]"
poly_d2_o4,shared_minimax,9,point_015,15,0.08647494734591715,0.2709336675041285,0.14926710558126613,0.2709336675041285,0.02760054365840375,"[""1e-1"", ""1e-2""]","{""w_Delta_u"": 0.01, ""w_u"": 0.1}",0.11,"[0.1, 0.01]"
poly_d2_o4,shared_minimax,10,point_014,14,0.11263366584544121,0.27984513847737114,0.1625892890373723,0.27984513847737114,0.04533343959737343,"[""1e-1"", ""1e-3""]","{""w_Delta_u"": 0.001, ""w_u"": 0.1}",0.101,"[0.1, 0.001]"
poly_d2_o6,war,1,point_220,220,0.24900402659556434,0.9995401934223066,0.530785860593801,0.9995401934223066,0.06203152776529537,"[""1e+1"", ""1e+0"", ""1e+0""]","{""w_Delta2_u"": 1.0, ""w_Delta_u"": 1.0, ""w_u"": 10.0}",12.0,"[10.0, 1.0, 1.0]"
