bc_weights,vanilla_L2_err,sinh_L2_err,geometric_mean,max_error,weight_sum
"[1.0, 0.1, 1.0]",0.9975993656466293,0.19675726558702186,0.4430405436706424,0.9975993656466293,2.1
"[0.001, 1.0, 1.0]",0.7706532115283428,0.2572821873314654,0.445281196477047,0.7706532115283428,2.001
"[1.0, 1.0, 0.1]",0.9976202360651389,0.200536211818604,0.44727953560842065,0.9976202360651389,2.1
"[0.001, 1.0, 0.1]",0.7671142901056157,0.26586579929639553,0.45160763267533083,0.7671142901056157,1.101
"[1.0, 1.0, 0.01]",0.9976279719736733,0.20456030803929015,0.45174670475339046,0.9976279719736733,2.01
"[1.0, 1.0, 0.001]",0.9976188381591673,0.2046821077311817,0.4518791060745683,0.9976188381591673,2.001
"[0.01, 0.1, 1.0]",1.2516704279599735,0.16518022358610573,0.4546990225924673,1.2516704279599735,1.11
"[0.1, 0.1, 100.0]",0.9641844866057836,0.21609914341077302,0.456464063914637,0.9641844866057836,100.2
"[0.001, 1.0, 0.01]",0.7763840707147576,0.2685891913034182,0.45664906623591445,0.7763840707147576,1.011
"[0.001, 1.0, 0.001]",0.7797989758875596,0.26895149528631973,0.4579608068248853,0.7797989758875596,1.0019999999999998
"[1.0, 0.1, 0.1]",0.9975992358452538,0.21045480206414824,0.4582025204199104,0.9975992358452538,1.2000000000000002
"[0.1, 0.01, 100.0]",0.9639576202444423,0.22377025377285317,0.46444056811219075,0.9639576202444423,100.11
"[0.1, 0.001, 100.0]",0.9639724377341002,0.22475781731951047,0.46546787328588435,0.9639724377341002,100.101
"[0.01, 10.0, 10.0]",1.1566426106285321,0.1987058818953389,0.47940764489385185,1.1566426106285321,20.009999999999998
"[0.01, 0.1, 0.1]",1.3311492470654935,0.18747873668128034,0.4995619873189675,1.3311492470654935,0.21000000000000002
"[0.01, 0.1, 0.001]",1.3331686188646061,0.18770964629500675,0.5002485481225086,1.3331686188646061,0.111
"[0.01, 0.1, 0.01]",1.3343080678497325,0.18771415581768922,0.5004682932585686,1.3343080678497325,0.12
"[0.01, 0.01, 1.0]",1.392306487031757,0.18558806124681138,0.5083261370317117,1.392306487031757,1.02
"[0.01, 1.0, 100.0]",0.7590785632987479,0.34942619564204075,0.515016441064659,0.7590785632987479,101.01
"[0.01, 0.001, 1.0]",1.4188887841248288,0.18775932524973715,0.5161488164393074,1.4188887841248288,1.011
"[0.01, 0.01, 0.01]",1.5027205156360202,0.18516800119750798,0.5274995300839711,1.5027205156360202,0.03
