panel,variant,time_s,median_l2,q25_l2,q75_l2,median_best_l2,q25_best_l2,q75_best_l2,n_seeds
chirp_a2,complex_sinh,174.316201,4.2101127877e-04,3.4586188831e-04,1.5491157356e-03,2.6489613307e-04,2.2760207097e-04,2.8588226045e-04,5
chirp_a2,complex_sinh,177.668436,1.1424130266e-03,5.2293302536e-04,1.7793226778e-03,2.6449493957e-04,2.2500115546e-04,2.7744455603e-04,5
chirp_a2,complex_sinh,181.020670,2.6910842751e-04,2.6395546239e-04,2.2791970281e-03,2.6395546239e-04,2.2331858047e-04,2.6910842751e-04,5
chirp_a2,complex_sinh,184.372905,8.7303221196e-04,6.6543182867e-04,9.0191057638e-04,2.5335398092e-04,2.1539664742e-04,2.6717499161e-04,5
chirp_a2,complex_sinh,187.725140,3.0416707630e-04,2.4317829632e-04,3.0443179006e-03,2.4317829632e-04,2.0817729986e-04,2.6717499161e-04,5
chirp_a2,complex_sinh,191.077374,7.6308744812e-04,2.6060450769e-04,8.7283714660e-04,2.3703903460e-04,2.0817729986e-04,2.6060450769e-04,5
chirp_a2,complex_sinh,194.429609,2.5427748059e-04,2.4897251410e-04,7.2771073428e-04,2.3162631811e-04,2.0817729986e-04,2.5427748059e-04,5
chirp_a2,complex_sinh,197.781844,3.7406383771e-04,2.8876691137e-04,8.6255170621e-04,2.3008266106e-04,2.0817729986e-04,2.5274519828e-04,5
chirp_a2,complex_sinh,201.134078,2.9514725978e-04,2.6803262076e-04,7.4130448881e-04,2.3008266106e-04,2.0817729986e-04,2.5274519828e-04,5
chirp_a2,complex_sinh,204.486313,7.2742836119e-04,2.5209984106e-04,7.8986802769e-04,2.3008266106e-04,2.0817729986e-04,2.4861756174e-04,5
chirp_a2,complex_sinh,207.838547,5.1626237527e-04,2.4667772296e-04,6.1657271257e-04,2.3008266106e-04,2.0817729986e-04,2.4177662201e-04,5
chirp_a2,complex_sinh,211.190782,3.5375722024e-04,2.8532753650e-04,5.3603461655e-04,2.2524305149e-04,2.0817729986e-04,2.3792485478e-04,5
chirp_a2,complex_sinh,214.543017,3.7301379418e-04,2.5960322249e-04,2.0026978350e-03,2.1380798305e-04,2.0817729986e-04,2.3701699843e-04,5
chirp_a2,complex_sinh,217.895251,4.5807404887e-04,2.3268120779e-04,7.8723538398e-04,2.0817729986e-04,2.0453009415e-04,2.3268120779e-04,5
chirp_a2,complex_sinh,221.247486,4.3687598183e-04,2.4626640213e-04,5.2028296675e-04,2.0817729986e-04,2.0035402510e-04,2.3227692756e-04,5
chirp_a2,complex_sinh,224.599721,2.6269111242e-04,2.3130888776e-04,2.6467175333e-04,2.0480268724e-04,1.9628372837e-04,2.3130888776e-04,5
chirp_a2,complex_sinh,227.951955,2.1710433132e-04,2.1186194180e-04,2.9118439050e-04,1.9329913707e-04,1.9251022334e-04,2.1710433132e-04,5
chirp_a2,complex_sinh,231.304190,2.0362545938e-04,1.8880926298e-04,2.0377206918e-04,1.8880926298e-04,1.8371781040e-04,2.0377206918e-04,5
chirp_a2,complex_sinh,234.656425,4.6231044296e-04,4.2915089559e-04,4.7797134499e-04,1.8851340570e-04,1.8371781040e-04,2.0288482661e-04,5
chirp_a2,complex_sinh,238.008659,1.1196089728e-03,9.9082662442e-04,1.1219451994e-03,1.8851340570e-04,1.8371781040e-04,2.0288482661e-04,5
chirp_a2,complex_sinh,241.360894,6.7961038418e-04,4.7932680560e-04,8.7670383423e-04,1.8851340570e-04,1.7288818702e-04,1.9759591278e-04,5
chirp_a2,complex_sinh,244.713128,2.7109540341e-04,2.2268416766e-04,3.7124325897e-04,1.8851340570e-04,1.7288818702e-04,1.9090870578e-04,5
chirp_a2,complex_sinh,248.065363,2.1771435164e-04,1.8607367233e-04,2.8980521802e-04,1.8466787709e-04,1.7043366590e-04,1.8607367233e-04,5
chirp_a2,complex_sinh,251.417598,2.1259453091e-04,1.8240944675e-04,2.1378424413e-04,1.7841085933e-04,1.6734549940e-04,1.8240944675e-04,5
chirp_a2,complex_sinh,254.769832,3.0171911786e-04,2.2482151534e-04,3.8847420298e-04,1.7349265232e-04,1.6621704581e-04,1.8038892892e-04,5
chirp_a2,complex_sinh,258.122067,7.7734386201e-04,2.2464290893e-04,8.4095145531e-04,1.7012897404e-04,1.6621704581e-04,1.8038892892e-04,5
chirp_a2,complex_sinh,261.474302,8.1463516741e-04,2.7376062325e-04,3.1456035208e-03,1.6692378361e-04,1.6621704581e-04,1.7973489310e-04,5
chirp_a2,complex_sinh,264.826536,8.3207662161e-04,3.1963806575e-04,1.0120578801e-03,1.6621704581e-04,1.6401782395e-04,1.7738773022e-04,5
chirp_a2,complex_sinh,268.178771,2.1841873539e-04,1.7999229633e-04,3.0219083078e-04,1.6621704581e-04,1.6149442099e-04,1.7480032408e-04,5
chirp_a2,complex_sinh,271.531006,4.5416513944e-04,4.1231781190e-04,4.6926272276e-04,1.6621704581e-04,1.6149442099e-04,1.7019374388e-04,5
chirp_a2,complex_sinh,274.883240,1.1061536441e-03,8.2178300080e-04,1.1459711226e-03,1.6570856265e-04,1.6149442099e-04,1.6621704581e-04,5
chirp_a2,complex_sinh,278.235475,6.4135029515e-04,5.4523254696e-04,1.0346840340e-03,1.6553338842e-04,1.6149442099e-04,1.6621704581e-04,5
chirp_a2,complex_sinh,281.587709,3.9074452085e-04,3.6166017214e-04,1.2852080848e-03,1.6553338842e-04,1.6149442099e-04,1.6601056018e-04,5
chirp_a2,complex_sinh,284.939944,4.2188977069e-04,3.0997012936e-04,1.3173119678e-03,1.6149442099e-04,1.5700473940e-04,1.6553338842e-04,5
chirp_a2,complex_sinh,288.292179,1.0566019430e-03,3.3395627892e-04,2.1014330714e-03,1.6149442099e-04,1.4848747073e-04,1.6553338842e-04,5
chirp_a2,complex_sinh,291.644413,6.0255701308e-04,3.9607948023e-04,1.9079561157e-03,1.5760545256e-04,1.4763040785e-04,1.6553338842e-04,5
chirp_a2,complex_sinh,294.996648,1.2350992105e-03,2.8655029120e-04,1.3178458828e-03,1.5165567288e-04,1.4763040785e-04,1.6553338842e-04,5
