candidate_id,candidate_index,real_sinh_autodiff_loss,real_sinh_autodiff_mass_drift_rms,real_sinh_autodiff_rel_error,real_sinh_autodiff_status,real_sinh_autodiff_steps,war_loss,war_mass_drift_rms,war_rel_error,war_status,war_steps,weight_labels,weight_map,weights
point_034,34,1.3207319974899292,0.009660966694355011,0.9336588382720947,complete,125,0.006030187010765076,0.0006894730031490326,0.16063781082630157,complete,798,"[""1e+1"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 10.0}","[10.0, 1000.0]"
point_035,35,2.392197608947754,0.017589695751667023,1.0012043714523315,complete,126,0.008146504871547222,0.0135831693187356,0.23487503826618195,complete,790,"[""1e+2"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 100.0}","[100.0, 0.001]"
point_036,36,2.4322350025177,0.027607230469584465,1.0173016786575317,complete,119,0.006820686627179384,0.01309218443930149,0.21869666874408722,complete,818,"[""1e+2"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 100.0}","[100.0, 0.01]"
point_037,37,2.82688570022583,0.02370510995388031,0.9816663861274719,complete,123,0.007612817920744419,0.013326723128557205,0.22200676798820496,complete,799,"[""1e+2"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 100.0}","[100.0, 0.1]"
point_038,38,2.3872230052948,0.024074595421552658,1.0082629919052124,complete,119,0.009320621378719807,0.0117657370865345,0.23177571594715118,complete,792,"[""1e+2"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 100.0}","[100.0, 1.0]"
point_039,39,3.0869104862213135,0.02883039601147175,0.9724078178405762,complete,123,0.009206523187458515,0.004658543039113283,0.2095995992422104,complete,791,"[""1e+2"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 100.0}","[100.0, 10.0]"
point_040,40,2.8405959606170654,0.02108754962682724,0.9671112298965454,complete,124,0.011415936052799225,0.002350069582462311,0.10813591629266739,complete,789,"[""1e+2"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 100.0}","[100.0, 100.0]"
point_041,41,4.290774822235107,0.022379213944077492,0.9280083179473877,complete,122,0.011877927929162979,0.001508826040662825,0.18493521213531494,complete,803,"[""1e+2"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 100.0}","[100.0, 1000.0]"
point_042,42,17.08049774169922,0.006626645103096962,0.8766289949417114,complete,123,0.09756100177764893,0.021137867122888565,0.4578942060470581,complete,789,"[""1e+3"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 1000.0}","[1000.0, 0.001]"
point_043,43,13.381479263305664,0.004903166554868221,0.8753871917724609,complete,122,0.09706837683916092,0.017709799110889435,0.42359277606010437,complete,798,"[""1e+3"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 1000.0}","[1000.0, 0.01]"
point_044,44,16.925045013427734,0.0054002441465854645,0.9656255841255188,complete,119,0.09163035452365875,0.015283292159438133,0.4490766227245331,complete,786,"[""1e+3"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 1000.0}","[1000.0, 0.1]"
point_045,45,15.420363426208496,0.007928799837827682,0.873619556427002,complete,120,0.07135871052742004,0.018712375313043594,0.4098212718963623,complete,790,"[""1e+3"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 1000.0}","[1000.0, 1.0]"
point_046,46,16.108230590820312,0.008440116420388222,0.8689540028572083,complete,123,0.10268661379814148,0.023885248228907585,0.41692548990249634,complete,785,"[""1e+3"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 1000.0}","[1000.0, 10.0]"
point_047,47,16.24614143371582,0.0073212673887610435,0.903601348400116,complete,120,0.051427073776721954,0.005840200465172529,0.25434038043022156,complete,794,"[""1e+3"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 1000.0}","[1000.0, 100.0]"
point_048,48,22.538528442382812,0.01165881659835577,0.9964814782142639,complete,124,0.06411789357662201,0.010462291538715363,0.47873544692993164,complete,791,"[""1e+3"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 1000.0}","[1000.0, 1000.0]"
