task,candidate,lambda_ic,lambda_bc,war_rel_error,ad_rel_error,war_loss,ad_loss,war_steps,ad_steps,war_ms_per_step,ad_ms_per_step,war_peak_mb,ad_peak_mb,geomean,minimax,mean_error
dynamic_plate_2d_o4,point_033,10.0,100.0,0.6332691311836243,0.6795958876609802,0.02702309563755989,0.06847454607486725,2116,1277,28.361032016237314,47.01774784406835,599.77880859375,738.71044921875,0.656023701808885,0.6795958876609802,0.6564325094223022
dynamic_plate_2d_o4,point_034,10.0,1000.0,0.9872791767120361,0.9890586137771606,0.8806716799736023,0.7305291891098022,2131,1242,28.162984295469784,48.309943806709974,599.77880859375,738.71044921875,0.9881684947061725,0.9890586137771606,0.9881688952445984
dynamic_plate_2d_o4,point_035,100.0,0.001,1.8507906198501587,1.3883147239685059,0.001297544571571052,0.06832535564899445,2149,1279,27.92705120081095,46.912956786246575,599.77880859375,738.71044921875,1.6029597214280753,1.8507906198501587,1.6195526719093323
dynamic_plate_2d_o4,point_036,100.0,0.01,1.3366025686264038,1.316390037536621,0.001961486879736185,0.07215775549411774,2185,1259,27.471242547546698,47.68683082728134,599.77880859375,738.71044921875,1.3264578038843362,1.3366025686264038,1.3264963030815125
dynamic_plate_2d_o4,point_037,100.0,0.1,0.17761774361133575,0.8094472289085388,0.002599252387881279,0.06936891376972198,2077,1309,28.8955707454558,45.855589589492524,599.77880859375,738.71044921875,0.3791730348682288,0.8094472289085388,0.4935324862599373
dynamic_plate_2d_o4,point_038,100.0,1.0,0.07572612911462784,0.6825812458992004,0.0020675980485975742,0.09334515035152435,2072,1242,28.96419372211811,48.311551743383475,599.77880859375,738.71044921875,0.22735266780529845,0.6825812458992004,0.37915368750691414
dynamic_plate_2d_o4,point_039,100.0,10.0,0.028187228366732597,0.5874038338661194,0.0011296964948996902,0.07997988164424896,2152,1222,27.884867957180372,49.11113123877398,599.77880859375,738.71044921875,0.12867511806358897,0.5874038338661194,0.307795531116426
dynamic_plate_2d_o4,point_040,100.0,100.0,0.36912256479263306,0.5765676498413086,0.014727363362908363,0.06826189905405045,2155,1276,27.84702496348152,47.02403178572842,599.77880859375,738.71044921875,0.4613286569094582,0.5765676498413086,0.4728451073169708
dynamic_plate_2d_o4,point_041,100.0,1000.0,0.7580403089523315,0.6585317254066467,0.1324331909418106,0.19062292575836182,2086,1261,28.773394063265133,47.61276240804004,599.77880859375,738.71044921875,0.7065363349341395,0.7580403089523315,0.7082860171794891
dynamic_plate_2d_o4,point_042,1000.0,0.001,1.7023015022277832,0.9776591658592224,0.11880626529455185,0.2657614052295685,2068,1290,29.015421112585,46.547500006565755,599.77880859375,738.71044921875,1.2900661481912141,1.7023015022277832,1.3399803340435028
dynamic_plate_2d_o4,point_043,1000.0,0.01,1.7376130819320679,1.0066369771957397,0.12583109736442566,0.23183587193489075,2174,1248,27.60631868850505,48.11332430183076,599.77880859375,738.71044921875,1.322552675825001,1.7376130819320679,1.3721250295639038
dynamic_plate_2d_o4,point_044,1000.0,0.1,1.6563454866409302,0.9639157652854919,0.12656809389591217,0.25970107316970825,2161,1227,27.77583654133852,48.91223134510918,599.77880859375,738.71044921875,1.2635574887327694,1.6563454866409302,1.310130625963211
dynamic_plate_2d_o4,point_045,1000.0,1.0,0.887184739112854,0.7395170331001282,0.048967618495225906,0.2831670343875885,2142,1246,28.01326568039303,48.17123564758471,599.77880859375,738.71044921875,0.809992732115819,0.887184739112854,0.8133508861064911
dynamic_plate_2d_o4,point_046,1000.0,10.0,0.508770763874054,0.7849756479263306,0.039404407143592834,0.3981948494911194,2071,1291,28.97422069001031,46.50908698184281,599.77880859375,738.71044921875,0.6319593816203772,0.7849756479263306,0.6468732059001923
dynamic_plate_2d_o4,point_047,1000.0,100.0,0.4271242320537567,0.6920382976531982,0.031145382672548294,0.24862593412399292,2119,1212,28.322653047680685,49.51326422264228,599.77880859375,738.71044921875,0.5436785138635805,0.6920382976531982,0.5595812648534775
