candidate_id,candidate_index,geometric_mean,max_error,mean_error,real_sinh_autodiff_rel_error,war_rel_error,weight_labels,weight_map,weight_sum,weights
point_021,21,0.34317926310812663,1.0183587074279785,0.5670037753880024,1.0183587074279785,0.11564884334802628,"['1e+0', '1e-3']","{'lambda_ic': 1.0, 'lambda_bc': 0.001}",1.001,"[1.0, 0.001]"
point_022,22,0.3514677055009072,1.0185341835021973,0.5699079371988773,1.0185341835021973,0.1212816908955574,"['1e+0', '1e-2']","{'lambda_ic': 1.0, 'lambda_bc': 0.01}",1.01,"[1.0, 0.01]"
point_012,12,0.3504280374972024,1.0330616235733032,0.5759657025337219,1.0330616235733032,0.11886978149414062,"['1e-2', '1e+2']","{'lambda_ic': 0.01, 'lambda_bc': 100.0}",100.01,"[0.01, 100.0]"
point_024,24,0.338600231655607,1.0373284816741943,0.5739264450967312,1.0373284816741943,0.11052440851926804,"['1e+0', '1e+0']","{'lambda_ic': 1.0, 'lambda_bc': 1.0}",2.0,"[1.0, 1.0]"
point_023,23,0.35209799912546336,1.0385735034942627,0.5789710208773613,1.0385735034942627,0.1193685382604599,"['1e+0', '1e-1']","{'lambda_ic': 1.0, 'lambda_bc': 0.1}",1.1,"[1.0, 0.1]"
point_005,5,1.807147228188451,3.0466201305389404,2.0592779517173767,1.071935772895813,3.0466201305389404,"['1e-3', '1e+2']","{'lambda_ic': 0.001, 'lambda_bc': 100.0}",100.001,"[0.001, 100.0]"
point_018,18,0.40709661089781846,1.1516932249069214,0.6477961763739586,1.1516932249069214,0.1438991278409958,"['1e-1', '1e+1']","{'lambda_ic': 0.1, 'lambda_bc': 10.0}",10.1,"[0.1, 10.0]"
point_011,11,0.4196031751790055,1.1783215999603271,0.6638716533780098,1.1783215999603271,0.14942170679569244,"['1e-2', '1e+1']","{'lambda_ic': 0.01, 'lambda_bc': 10.0}",10.01,"[0.01, 10.0]"
point_017,17,0.38695845010379115,1.208097219467163,0.666020791977644,1.208097219467163,0.12394436448812485,"['1e-1', '1e+0']","{'lambda_ic': 0.1, 'lambda_bc': 1.0}",1.1,"[0.1, 1.0]"
point_014,14,0.39506898637208865,1.2191790342330933,0.6735996007919312,1.2191790342330933,0.12802016735076904,"['1e-1', '1e-3']","{'lambda_ic': 0.1, 'lambda_bc': 0.001}",0.101,"[0.1, 0.001]"
point_010,10,0.4223989101081801,1.2260582447052002,0.6857910975813866,1.2260582447052002,0.14552395045757294,"['1e-2', '1e+0']","{'lambda_ic': 0.01, 'lambda_bc': 1.0}",1.01,"[0.01, 1.0]"
point_016,16,0.37490320731195154,1.2268701791763306,0.6707159727811813,1.2268701791763306,0.1145617663860321,"['1e-1', '1e-1']","{'lambda_ic': 0.1, 'lambda_bc': 0.1}",0.2,"[0.1, 0.1]"
point_015,15,0.351659135514449,1.2390618324279785,0.6694332472980022,1.2390618324279785,0.09980466216802597,"['1e-1', '1e-2']","{'lambda_ic': 0.1, 'lambda_bc': 0.01}",0.11,"[0.1, 0.01]"
point_004,4,0.4839062109667107,1.6342861652374268,0.8887845203280449,1.6342861652374268,0.14328287541866302,"['1e-3', '1e+1']","{'lambda_ic': 0.001, 'lambda_bc': 10.0}",10.001,"[0.001, 10.0]"
point_009,9,0.4882112066135574,1.7234971523284912,0.9308958277106285,1.7234971523284912,0.1382945030927658,"['1e-2', '1e-1']","{'lambda_ic': 0.01, 'lambda_bc': 0.1}",0.11,"[0.01, 0.1]"
point_003,3,0.442685426435674,1.7822736501693726,0.9461144618690014,1.7822736501693726,0.10995527356863022,"['1e-3', '1e+0']","{'lambda_ic': 0.001, 'lambda_bc': 1.0}",1.001,"[0.001, 1.0]"
point_008,8,0.5050155028652519,1.9305564165115356,1.0313318744301796,1.9305564165115356,0.13210733234882355,"['1e-2', '1e-2']","{'lambda_ic': 0.01, 'lambda_bc': 0.01}",0.02,"[0.01, 0.01]"
point_007,7,0.5255522285940789,2.011186361312866,1.0742603987455368,2.011186361312866,0.1373344361782074,"['1e-2', '1e-3']","{'lambda_ic': 0.01, 'lambda_bc': 0.001}",0.011,"[0.01, 0.001]"
point_002,2,0.5522216222186976,2.314704656600952,1.2232243865728378,2.314704656600952,0.1317441165447235,"['1e-3', '1e-1']","{'lambda_ic': 0.001, 'lambda_bc': 0.1}",0.101,"[0.001, 0.1]"
point_000,0,0.6547077535815773,2.729888916015625,1.4434535577893257,2.729888916015625,0.15701819956302643,"['1e-3', '1e-3']","{'lambda_ic': 0.001, 'lambda_bc': 0.001}",0.002,"[0.001, 0.001]"
point_001,1,0.6030839897977179,2.794581174850464,1.4623647928237915,2.794581174850464,0.13014841079711914,"['1e-3', '1e-2']","{'lambda_ic': 0.001, 'lambda_bc': 0.01}",0.011,"[0.001, 0.01]"
