task_id,candidate_id,candidate_index,weight_labels,weights,weight_map,war_status,war_loss,war_rel_error,war_steps,war_history_points,realad_status,realad_loss,realad_rel_error,realad_steps,realad_history_points,paired_complete,geometric_mean_rel_error,max_rel_error,mean_rel_error
cahn_hilliard_o6,point_017,17,"[""1e-1"", ""1e+0""]","[0.1,1.0]","{""lambda_ic"":0.1,""mu_mean"":1.0}",complete,0.02870882478026771,0.09802778980235863,378,13,complete,0.5097188739065732,1.7139001336330961,208,13,True,0.40989003652445555,1.7139001336330961,0.9059639617177274
cahn_hilliard_o6,point_018,18,"[""1e-1"", ""1e+1""]","[0.1,10.0]","{""lambda_ic"":0.1,""mu_mean"":10.0}",complete,0.017214962647137254,0.07093825880510123,377,13,complete,0.07529077664697752,0.18788616826329937,208,13,True,0.11544833316319784,0.18788616826329937,0.1294122135342003
cahn_hilliard_o6,point_019,19,"[""1e-1"", ""1e+2""]","[0.1,100.0]","{""lambda_ic"":0.1,""mu_mean"":100.0}",complete,0.011663535705488936,0.048721962471124515,377,13,complete,0.29135205814032555,0.18845537479575658,210,13,True,0.09582231315450779,0.18845537479575658,0.11858866863344054
cahn_hilliard_o6,point_020,20,"[""1e-1"", ""1e+3""]","[0.1,1000.0]","{""lambda_ic"":0.1,""mu_mean"":1000.0}",complete,6.739785983904081,0.7940012329865117,377,13,complete,6.801007199820633,1.074548886265152,208,13,True,0.9236845460430815,1.074548886265152,0.9342750596258318
cahn_hilliard_o6,point_021,21,"[""1e+0"", ""1e-3""]","[1.0,0.001]","{""lambda_ic"":1.0,""mu_mean"":0.001}",complete,0.024045070979005084,0.077844922045375,377,13,complete,0.10410746526504289,0.09932164334698454,208,13,True,0.0879300038881186,0.09932164334698454,0.08858328269617977
cahn_hilliard_o6,point_022,22,"[""1e+0"", ""1e-2""]","[1.0,0.01]","{""lambda_ic"":1.0,""mu_mean"":0.01}",complete,0.025185635682643405,0.07988979896357935,378,13,complete,0.14509565215510986,0.12901258048514438,209,13,True,0.10152235772838801,0.12901258048514438,0.10445118972436188
cahn_hilliard_o6,point_023,23,"[""1e+0"", ""1e-1""]","[1.0,0.1]","{""lambda_ic"":1.0,""mu_mean"":0.1}",complete,0.026795698937437867,0.0848624243790928,377,13,complete,0.13762196515867559,0.15479812498160067,207,13,True,0.1146147642115816,0.15479812498160067,0.11983027468034674
cahn_hilliard_o6,point_024,24,"[""1e+0"", ""1e+0""]","[1.0,1.0]","{""lambda_ic"":1.0,""mu_mean"":1.0}",complete,0.02417883106394565,0.07846808899373185,377,13,complete,0.09781688706394376,0.12377278301089184,210,13,True,0.09855056444435274,0.12377278301089184,0.10112043600231185
cahn_hilliard_o6,point_025,25,"[""1e+0"", ""1e+1""]","[1.0,10.0]","{""lambda_ic"":1.0,""mu_mean"":10.0}",complete,0.012956015918994628,0.05572851159098465,377,13,complete,0.06534700042103289,0.09786496900892762,210,13,True,0.07385031523132028,0.09786496900892762,0.07679674029995613
cahn_hilliard_o6,point_026,26,"[""1e+0"", ""1e+2""]","[1.0,100.0]","{""lambda_ic"":1.0,""mu_mean"":100.0}",complete,0.03182969588470155,0.0827011545571613,376,13,complete,0.20010260402466648,0.11794720974025953,210,13,True,0.09876421630486987,0.11794720974025953,0.10032418214871042
cahn_hilliard_o6,point_027,27,"[""1e+0"", ""1e+3""]","[1.0,1000.0]","{""lambda_ic"":1.0,""mu_mean"":1000.0}",complete,3.203766523721965,0.4256859074419832,377,13,complete,7.407594151253826,1.0326734081933115,210,13,True,0.6630192432033745,1.0326734081933115,0.7291796578176474
cahn_hilliard_o6,point_028,28,"[""1e+1"", ""1e-3""]","[10.0,0.001]","{""lambda_ic"":10.0,""mu_mean"":0.001}",complete,0.03699026500400373,0.06441006773876246,377,13,complete,0.09679697123350132,0.10491384911517329,210,13,True,0.0822040639399453,0.10491384911517329,0.08466195842696787
cahn_hilliard_o6,point_029,29,"[""1e+1"", ""1e-2""]","[10.0,0.01]","{""lambda_ic"":10.0,""mu_mean"":0.01}",complete,0.0340154317051111,0.06105423212696336,377,13,complete,0.09551190174492982,0.10495125890122514,211,13,True,0.0800482262325183,0.10495125890122514,0.08300274551409426
cahn_hilliard_o6,point_030,30,"[""1e+1"", ""1e-1""]","[10.0,0.1]","{""lambda_ic"":10.0,""mu_mean"":0.1}",complete,0.03331874365404411,0.060995397651730926,378,13,complete,0.09290060922651835,0.10516277432017268,209,13,True,0.08009023185019612,0.10516277432017268,0.0830790859859518
cahn_hilliard_o6,point_031,31,"[""1e+1"", ""1e+0""]","[10.0,1.0]","{""lambda_ic"":10.0,""mu_mean"":1.0}",complete,0.042875060690672394,0.05917739394484572,377,13,complete,0.2516714100018006,0.12515569364760554,208,13,True,0.0860603729217157,0.12515569364760554,0.09216654379622563
cahn_hilliard_o6,point_032,32,"[""1e+1"", ""1e+1""]","[10.0,10.0]","{""lambda_ic"":10.0,""mu_mean"":10.0}",complete,0.016854377901552656,0.029409737235105746,377,13,complete,0.1674020748366175,0.1131861694944507,209,13,True,0.05769554145235087,0.1131861694944507,0.07129795336477823
cahn_hilliard_o6,point_033,33,"[""1e+1"", ""1e+2""]","[10.0,100.0]","{""lambda_ic"":10.0,""mu_mean"":100.0}",complete,0.0455858505700728,0.03559842873812981,378,13,complete,0.13762398785105218,0.128125679457552,208,13,True,0.06753571551182476,0.128125679457552,0.08186205409784089
cahn_hilliard_o6,point_034,34,"[""1e+1"", ""1e+3""]","[10.0,1000.0]","{""lambda_ic"":10.0,""mu_mean"":1000.0}",complete,0.5587032278828548,0.13010942066850864,377,13,complete,4.2202664509870615,0.44062460039049645,208,13,True,0.2394356103195609,0.44062460039049645,0.28536701052950253
cahn_hilliard_o6,point_035,35,"[""1e+2"", ""1e-3""]","[100.0,0.001]","{""lambda_ic"":100.0,""mu_mean"":0.001}",complete,0.03957948310158787,0.05021697458943806,376,13,complete,0.3693773066490112,0.19209538818448657,206,13,True,0.09821633890147098,0.19209538818448657,0.12115618138696231
cahn_hilliard_o6,point_036,36,"[""1e+2"", ""1e-2""]","[100.0,0.01]","{""lambda_ic"":100.0,""mu_mean"":0.01}",complete,0.039823353307827505,0.05033732918384164,376,13,complete,0.36520852912854634,0.19141569405375078,207,13,True,0.09815984312608274,0.19141569405375078,0.12087651161879621
