budget_seconds,candidate_id,candidate_index,completed_at,final_metrics_source,history_final_loss,history_final_rel_error,history_points,json_path,json_protocol_id,log_final_has_loss,log_final_has_rel_error,log_final_status,log_path,loss,method,method_name,rel_error,status,steps,task_id,weight_labels,weight_map,weights
60.0,point_005,5,2026-08-06T20:40:14.674859+00:00,text_log_final_line,0.010539331149841041,2.0925496872829004,13,results/poly_d2_o4/points/point_005/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_005/real_tanh_autodiff.log,0.010534451537204531,realad,real_tanh_autodiff,2.0911621749901594,complete,396,poly_d2_o4,"['1e-3', '1e+2']","{'w_Delta_u': 100.0, 'w_u': 0.001}","[0.001, 100.0]"
60.0,point_006,6,2026-08-06T20:41:17.545744+00:00,text_log_final_line,0.010965093917601958,0.39726589818404495,13,results/poly_d2_o4/points/point_006/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_006/war.log,0.010868992279968716,war,war,0.3963484912970216,complete,240,poly_d2_o4,"['1e-3', '1e+3']","{'w_Delta_u': 1000.0, 'w_u': 0.001}","[0.001, 1000.0]"
60.0,point_006,6,2026-08-06T20:42:20.287036+00:00,text_log_final_line,0.1243526988956572,2.0413138472000565,13,results/poly_d2_o4/points/point_006/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_006/real_tanh_autodiff.log,0.12420892658972407,realad,real_tanh_autodiff,2.0364551878336385,complete,395,poly_d2_o4,"['1e-3', '1e+3']","{'w_Delta_u': 1000.0, 'w_u': 0.001}","[0.001, 1000.0]"
60.0,point_007,7,2026-08-06T20:43:23.270562+00:00,text_log_final_line,5.2043770381642915e-05,0.08691057761965679,13,results/poly_d2_o4/points/point_007/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_007/war.log,5.19555039820493e-05,war,war,0.08685609369759247,complete,240,poly_d2_o4,"['1e-2', '1e-3']","{'w_Delta_u': 0.001, 'w_u': 0.01}","[0.01, 0.001]"
60.0,point_007,7,2026-08-06T20:44:25.818724+00:00,text_log_final_line,0.00047534368788402766,0.30021295771769757,13,results/poly_d2_o4/points/point_007/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_007/real_tanh_autodiff.log,0.0004751350512244871,realad,real_tanh_autodiff,0.2987943441850365,complete,394,poly_d2_o4,"['1e-2', '1e-3']","{'w_Delta_u': 0.001, 'w_u': 0.01}","[0.01, 0.001]"
60.0,point_008,8,2026-08-06T20:45:28.861313+00:00,text_log_final_line,4.098174334773983e-05,0.04862467343169228,13,results/poly_d2_o4/points/point_008/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_008/war.log,4.0903515636167226e-05,war,war,0.04868116821913461,complete,240,poly_d2_o4,"['1e-2', '1e-2']","{'w_Delta_u': 0.01, 'w_u': 0.01}","[0.01, 0.01]"
60.0,point_008,8,2026-08-06T20:46:31.599093+00:00,text_log_final_line,0.0005752949491850446,0.2372676093018685,13,results/poly_d2_o4/points/point_008/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_008/real_tanh_autodiff.log,0.0005748850764153566,realad,real_tanh_autodiff,0.2365539882404105,complete,394,poly_d2_o4,"['1e-2', '1e-2']","{'w_Delta_u': 0.01, 'w_u': 0.01}","[0.01, 0.01]"
60.0,point_009,9,2026-08-06T20:47:34.352230+00:00,text_log_final_line,2.635962789447013e-05,0.022570481593350587,13,results/poly_d2_o4/points/point_009/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_009/war.log,2.6330466995108864e-05,war,war,0.022561400913340225,complete,240,poly_d2_o4,"['1e-2', '1e-1']","{'w_Delta_u': 0.1, 'w_u': 0.01}","[0.01, 0.1]"
60.0,point_009,9,2026-08-06T20:48:37.726882+00:00,text_log_final_line,0.00031779894920159373,0.11022154916487083,13,results/poly_d2_o4/points/point_009/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_009/real_tanh_autodiff.log,0.0003173632839167525,realad,real_tanh_autodiff,0.11037509514898312,complete,394,poly_d2_o4,"['1e-2', '1e-1']","{'w_Delta_u': 0.1, 'w_u': 0.01}","[0.01, 0.1]"
60.0,point_010,10,2026-08-06T20:49:40.490844+00:00,text_log_final_line,2.9480627180180677e-05,0.024180841985115713,13,results/poly_d2_o4/points/point_010/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_010/war.log,2.9452997995484486e-05,war,war,0.02410596221303928,complete,240,poly_d2_o4,"['1e-2', '1e+0']","{'w_Delta_u': 1.0, 'w_u': 0.01}","[0.01, 1.0]"
