candidate_id,candidate_index,geometric_mean,max_error,mean_error,real_sinh_autodiff_rel_error,war_rel_error,weight_labels,weight_map,weight_sum,weights
point_043,43,0.40195526047055746,0.7291903495788574,0.4753810837864876,0.7291903495788574,0.22157181799411774,"['1e+3', '1e-2']","{'lambda_ic': 1000.0, 'lambda_bc': 0.01}",1000.01,"[1000.0, 0.01]"
point_044,44,0.4158144108748021,0.7400357127189636,0.48683764040470123,0.7400357127189636,0.23363956809043884,"['1e+3', '1e-1']","{'lambda_ic': 1000.0, 'lambda_bc': 0.1}",1000.1,"[1000.0, 0.1]"
point_045,45,0.4129043197519951,0.7107361555099487,0.47530708461999893,0.7107361555099487,0.23987801373004913,"['1e+3', '1e+0']","{'lambda_ic': 1000.0, 'lambda_bc': 1.0}",1001.0,"[1000.0, 1.0]"
point_047,47,0.5054375356734164,0.8513445258140564,0.5757097005844116,0.8513445258140564,0.30007487535476685,"['1e+3', '1e+2']","{'lambda_ic': 1000.0, 'lambda_bc': 100.0}",1100.0,"[1000.0, 100.0]"
point_048,48,0.609622995763921,0.9871067404747009,0.681800588965416,0.9871067404747009,0.376494437456131,"['1e+3', '1e+3']","{'lambda_ic': 1000.0, 'lambda_bc': 1000.0}",2000.0,"[1000.0, 1000.0]"
point_010,10,0.6961142126866643,0.7819525003433228,0.7008256316184998,0.7819525003433228,0.6196987628936768,"['1e-2', '1e+0']","{'lambda_ic': 0.01, 'lambda_bc': 1.0}",1.01,"[0.01, 1.0]"
point_017,17,0.650717804931696,0.670197069644928,0.6510008871555328,0.670197069644928,0.6318047046661377,"['1e-1', '1e+0']","{'lambda_ic': 0.1, 'lambda_bc': 1.0}",1.1,"[0.1, 1.0]"
point_020,20,1.0584441490964256,1.1624213457107544,1.0630944669246674,0.9637675881385803,1.1624213457107544,"['1e-1', '1e+3']","{'lambda_ic': 0.1, 'lambda_bc': 1000.0}",1000.1,"[0.1, 1000.0]"
point_013,13,1.1018790077861311,1.2323698997497559,1.1087875962257385,0.9852052927017212,1.2323698997497559,"['1e-2', '1e+3']","{'lambda_ic': 0.01, 'lambda_bc': 1000.0}",1000.01,"[0.01, 1000.0]"
point_006,6,1.1177980896454744,1.2551499605178833,1.1253133416175842,0.9954767227172852,1.2551499605178833,"['1e-3', '1e+3']","{'lambda_ic': 0.001, 'lambda_bc': 1000.0}",1000.001,"[0.001, 1000.0]"
point_005,5,1.1919440887293382,3.135892868041992,1.7944737374782562,0.45305460691452026,3.135892868041992,"['1e-3', '1e+2']","{'lambda_ic': 0.001, 'lambda_bc': 100.0}",100.001,"[0.001, 100.0]"
