candidate_id,candidate_index,real_sinh_autodiff_loss,real_sinh_autodiff_mass_drift_rms,real_sinh_autodiff_rel_error,real_sinh_autodiff_status,real_sinh_autodiff_steps,war_loss,war_mass_drift_rms,war_rel_error,war_status,war_steps,weight_labels,weight_map,weights
point_010,10,0.07671776413917542,0.10272608697414398,0.7819525003433228,complete,952,0.004223133437335491,0.05682715028524399,0.6196987628936768,complete,1592,"[""1e-2"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 0.01}","[0.01, 1.0]"
point_011,11,0.061277858912944794,0.053102388978004456,0.38608184456825256,complete,956,0.00042752420995384455,0.0025158924981951714,0.06973918527364731,complete,1627,"[""1e-2"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 0.01}","[0.01, 10.0]"
point_012,12,0.11909672617912292,0.013260088860988617,0.45603469014167786,complete,918,0.0004534156178124249,0.005982722155749798,0.03732552006840706,complete,1668,"[""1e-2"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 0.01}","[0.01, 100.0]"
point_013,13,0.6322774887084961,0.025363625958561897,0.9852052927017212,complete,946,0.011697047390043736,0.18752722442150116,1.2323698997497559,complete,1568,"[""1e-2"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 0.01}","[0.01, 1000.0]"
point_014,14,0.08240069448947906,0.07913590222597122,0.8509134650230408,complete,905,0.0003104780334979296,0.006636940874159336,0.10071845352649689,complete,1587,"[""1e-1"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 0.1}","[0.1, 0.001]"
point_015,15,0.15308086574077606,0.22587838768959045,2.37154483795166,complete,904,0.000266268034465611,0.006599545478820801,0.10330051183700562,complete,1561,"[""1e-1"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 0.1}","[0.1, 0.01]"
point_016,16,0.07023724913597107,0.050498172640800476,0.6219990849494934,complete,983,0.0002662627666722983,0.006011209916323423,0.09352485835552216,complete,1593,"[""1e-1"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 0.1}","[0.1, 0.1]"
point_017,17,0.08477655798196793,0.0678965151309967,0.670197069644928,complete,979,0.005632386542856693,0.04470737650990486,0.6318047046661377,complete,1570,"[""1e-1"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 0.1}","[0.1, 1.0]"
point_018,18,0.06599348783493042,0.04107951372861862,0.3235430121421814,complete,963,0.00046835833927616477,0.0028277772944420576,0.07517778128385544,complete,1596,"[""1e-1"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 0.1}","[0.1, 10.0]"
point_019,19,0.1119379997253418,0.007900197990238667,0.463959276676178,complete,969,0.0005224928609095514,0.003357264678925276,0.07400786876678467,complete,1587,"[""1e-1"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 0.1}","[0.1, 100.0]"
point_020,20,0.6324633955955505,0.024702392518520355,0.9637675881385803,complete,980,0.012536576949059963,0.17301294207572937,1.1624213457107544,complete,1640,"[""1e-1"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 0.1}","[0.1, 1000.0]"
point_021,21,0.07809983938932419,0.031164685264229774,0.46212777495384216,complete,951,0.0003792693605646491,0.0023880554363131523,0.07287183403968811,complete,1636,"[""1e+0"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 1.0}","[1.0, 0.001]"
