elapsed_seconds,loss,method,pressure_rel_error,seed,step,velocity_rel_error
1140.072816,0.00692360382527113,real_tanh_autodiff,0.1457652598619461,0,5031,0.023676380515098572
1150.061286,0.008173058740794659,real_tanh_autodiff,0.14514201879501343,0,5078,0.02355947345495224
1160.123832,0.00714691448956728,real_tanh_autodiff,0.14733678102493286,0,5125,0.023199066519737244
1170.180996,0.007600410841405392,real_tanh_autodiff,0.1501450091600418,0,5172,0.02291150577366352
1180.007236,0.00702262157574296,real_tanh_autodiff,0.14607925713062286,0,5218,0.022495565935969353
1190.001325,0.006921910680830479,real_tanh_autodiff,0.14005737006664276,0,5265,0.022303622215986252
1200.20235,0.006890243850648403,real_tanh_autodiff,0.14407692849636078,0,5313,0.022295130416750908
0.0,26.855937957763672,war,1.1068824529647827,1,0,1.041716456413269
10.038036,24.40707778930664,war,1.0001274347305298,1,173,0.999884307384491
20.013117,9.297266006469727,war,1.1516319513320923,1,346,0.5487543940544128
30.050374,0.3807624280452728,war,1.0268445014953613,1,520,0.12062274664640427
40.044363,0.2422572672367096,war,0.9908257126808167,1,693,0.09685024619102478
50.035773,0.2084685117006302,war,0.9807113409042358,1,866,0.08763295412063599
60.029085,0.2254151552915573,war,0.9781516790390015,1,1039,0.07919644564390182
70.042864,0.1849990338087082,war,0.97459477186203,1,1212,0.08603334426879883
80.063823,0.13775096833705902,war,0.9820955991744995,1,1383,0.06734342873096466
90.036145,0.06562574952840805,war,0.9420657753944397,1,1555,0.09977862238883972
100.049442,0.10443663597106934,war,0.917468786239624,1,1728,0.1179063469171524
110.02881,0.05567869916558266,war,0.8453000783920288,1,1901,0.11289786547422409
120.050411,0.11133621633052826,war,0.8076505661010742,1,2075,0.11663763970136642
130.01977,0.06298894435167313,war,0.732984721660614,1,2248,0.09842080622911453
140.023941,0.06138388440012932,war,0.6956436038017273,1,2421,0.08830717951059341
150.01332,0.042245715856552124,war,0.6099381446838379,1,2592,0.08494828641414642
160.007788,0.03526598587632179,war,0.5500047206878662,1,2765,0.07360703498125076
170.028381,0.04003361985087395,war,0.49227380752563477,1,2938,0.06561324000358582
180.001332,0.026610027998685837,war,0.4182194471359253,1,3111,0.053910188376903534
190.0315,0.017600074410438538,war,0.3382357358932495,1,3285,0.04444786533713341
200.047357,0.017393765971064568,war,0.27221065759658813,1,3458,0.03813954070210457
210.019467,0.007133467122912407,war,0.19269031286239624,1,3644,0.022879481315612793
220.005476,0.00898017082363367,war,0.15298017859458923,1,3829,0.018225835636258125
230.051856,0.015580965206027031,war,0.13499927520751953,1,4017,0.021129464730620384
240.044327,0.030897963792085648,war,0.12535743415355682,1,4204,0.021313033998012543
